from,to
LG,EJMTV
LG,BSPS
RK,OKN
RK,LPV
RK,LPK
RK,HL
RK,K
RK,SP
LB,FVTM
LB,BSPMTVS
LB,VCOB
KR,UoA
KR,BA
KR,LBR
HD,MTVII
HD,BSPS
HJ,VfBSLT
HJ,VCS
MSP,BVMB
MSP,DSC1898
MSP,BSBC
MSP,STM
MSP,DIT
MSP,GHO
MSP,CVB
SL,KA
SL,B
SL,IVC
SL,PSU
JN,GBL
JN,BKSPC
JN,KSPU20
JN,SMSPZPS
IVDV,AK
IVDV,IBF
IVDV,CL
IVDV,RRV
IVDV,CSMT
IVDV,RCC
HK,VfBU
HK,OSPS
HK,BSPS
ET,AA
ET,ETW
ET,LiBA
ET,TTP
MT,RCC
MT,VLC
MT,VZ
MT,LCVB
MT,SAP
MT,VCM
JL,SU
JL,TTP
JL,EA
JL,CA
JL,USCM
LG,DEU
LB,DEU
HD,DEU
HK,DEU
RK,FIN
JL,NED
ET,NED
HJ,NED
KR,USA
MT,BGR
SL,USA
IVDV,BEL
JN,POL
MSP,ESP
