id,name,type,birth,age,position,country,height,number
JL,Juliet Lohuis,0,1996,2,0,2,3,4
SU,Set up 65,1,,,,,,
TTP,Talent Team Papendal,1,,,,,,
EA,Eurosped Almelo,1,,,,,,
CA,Coolen Alterno,1,,,,,,
USCM,USC Muenchen ,1,,,,,,
MT,Mira Todorova,0,1994,3,0,4,2,17
RCC,RC Cannes,1,,,,,,
VLC,Volero Le Cannet,1,,,,,,
VZ,Volero Zuerich,1,,,,,,
LCVB,Le Cannet Volley Ball,1,,,,,,
SAP,Sm Aesch Pfeffingen,1,,,,,,
VCM,VC Maritza,1,,,,,,
ET,Eline Timmerman,0,1998,1,0,2,3,
AA,Alterno Apeldoorn,1,,,,,,
ETW,Eurosped Twente,1,,,,,,
LiBA,Ladies in Black Aachen,1,,,,,,
HK,Hannah Kohn,0,2003,0,1,0,2,
VfBU,VfB Ulm,1,,,,,,
OSPS,Olympiastuetzpunkt Stuttgart,1,,,,,,
BSPS,Bundesstuetzpunkt Stuttgart,1,,,,,,
IVDV,Ilka van de Vyver,0,1993,3,1,5,1,
AK,Asterix Kieldrecht,1,,,,,,
IBF,Il Bisonte Firenze,1,,,,,,
CL,Calcit Ljubljana,1,,,,,,
RRV,Rote Raben Vilsbiburg,1,,,,,,
CSMT,CSM Targoviste,1,,,,,,
JN,Julia Nowicka,0,1998,1,1,6,1,
GBL,Grot Budowlani Lodz,1,,,,,,
BKSPC,BKS Profi Credit Bielsko-Biala,1,,,,,,
KSPU20,KS Palac Bydgoszcz U20,1,,,,,,
SMSPZPS,SMS PZPS Szczyrk,1,,,,,,
SL,Simone Lee,0,1996,2,2,3,2,
KA,Kurobe AquaFairies,1,,,,,,
B,Beylikduezue,1,,,,,,
IVC,Imoco Volley Conegliano,1,,,,,,
PSU,Penn State University,1,,,,,,
MSP,Maria Segura Palleres,0,1992,3,2,7,2,3
BVMB,Banca Valsabbina Millenium Brescia,1,,,,,,
DSC1898,Dresdner SC 1898,1,,,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,,,
STM,Saugella Team Monza,1,,,,,,
DIT,Delta Informatica Trentino,1,,,,,,
GHO,Geovillage Hermaea Olbia,1,,,,,,
CVB,CV Barcelona,1,,,,,,
HJ,Hester Jasper,0,2001,0,2,2,1,6
VfBSLT,VfB Suhl Lotto Thüringen,1,,,,,,
VCS,VC Sneek,1,,,,,,
HD,Helena Dornheim,0,2004,0,2,0,2,14
MTVII,Allianz MTV Stuttgart II,1,,,,,,
KR,Krystal Rivers,0,1994,3,3,3,2,13
UoA,University of Alabama,1,,,,,,
BA,Beziers Angels,1,,,,,,
LBR,Luka Bar (MNE),1,,,,,,
LB,Lara Berger,0,2001,0,3,0,3,15
FVTM,FV Tübinger Modell,1,,,,,,
BSPMTVS,BSP MTV Stuttgart,1,,,,,,
VCOB,VCO Berlin,1,,,,,,
RK,Roosa Koskelo,0,1991,3,4,1,0,1
OKN,OK Nova KBM Branik,1,,,,,,
LPV,LP Viesti,1,,,,,,
LPK,LP Kangasala,1,,,,,,
HL,Haemeenlinnan Lentopallokerho,1,,,,,,
K,Kimmo,1,,,,,,
SP,Someron Pallo,1,,,,,,
LG,Lena Grundt,0,2004,0,4,0,0,5
EJMTV,Eigene Jugend MTV Stuttgart,1,,,,,,
NED,Niederlande,1,,,,,,
DEU,Deutschland,1,,,,,,
FIN,Finnland,1,,,,,,
USA,USA,1,,,,,,
BGR,Bulgarien,1,,,,,,
BEL,Belgien,1,,,,,,
POL,Polen,1,,,,,,
ESP,Spanien,1,,,,,,
